id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
107745711,2018-04-09,"Chicago, IL",within an hour,96%,95%,FALSE,Back of the Yards,11,13,"['email', 'phone']",TRUE,TRUE,New City,41.79424,-87.66138,Private room in rental unit,Private room,1,1 shared bath,1,32,1125,32,32,1125,1125,32,1125,TRUE,30,60,90,365,18,0,0,2019-06-16,2022-08-12,4.94,5,4.89,5,5,4.28,4.83,FALSE,9,1,8,0,0.33
78539203,2014-12-23,NA,within an hour,100%,97%,FALSE,Clearwater Beach,1141,2346,"['email', 'phone']",TRUE,TRUE,Near North Side,41.892749050757295,-87.62071101709277,Room in hotel,Private room,12,3 baths,3,32,365,32,32,365,365,32,365,TRUE,25,49,66,135,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,58,0,58,0,NA
1112961466060884700,2020-03-08,NA,within an hour,100%,100%,FALSE,Lake View East,1,1,['phone'],TRUE,TRUE,Lake View,41.9481596,-87.65230869999999,Entire rental unit,Entire home/apt,6,1 bath,3,2,45,2,2,45,45,2,45,TRUE,0,0,0,0,14,14,1,2023-07-21,2023-12-03,4.87,5,5,5,5,4.93,4.8,FALSE,1,1,0,0,2.78
104794437,2015-10-22,"Chicago, IL",within an hour,100%,98%,FALSE,Bucktown,55,58,"['email', 'phone', 'work_email']",TRUE,TRUE,Hyde Park,41.80103,-87.59716,Entire rental unit,Entire home/apt,2,1 bath,1,2,180,2,2,180,180,2,180,TRUE,23,53,83,355,13,13,3,2023-09-02,2023-12-06,4.08,4.08,4,4.38,4.23,4.54,3.85,TRUE,55,55,0,0,3.61
1491898404543718e3,2021-04-04,"Chicago, IL",within an hour,100%,100%,TRUE,Near South Side,74,75,"['email', 'phone']",TRUE,TRUE,Near South Side,41.85577,-87.62413,Entire rental unit,Entire home/apt,6,2 baths,3,2,365,2,2,1125,1125,2,1125,TRUE,0,0,0,0,64,42,3,2022-05-06,2023-12-06,4.8,4.74,4.75,4.83,4.85,4.74,4.72,TRUE,74,74,0,0,3.24
1481553777640548e3,2014-12-23,NA,within an hour,100%,97%,FALSE,Clearwater Beach,1141,2346,"['email', 'phone']",TRUE,TRUE,Near North Side,41.8921,-87.61866,Room in hotel,Private room,2,1 bath,1,1,365,1,1,1,999,1,742,TRUE,22,48,66,201,2,2,1,2023-10-29,2023-12-13,5,5,5,5,5,4,5,TRUE,58,0,58,0,1.18
1683306051910315e3,2019-08-12,"Chicago, IL",within a few hours,100%,97%,TRUE,Hyde Park,3,4,"['email', 'phone', 'work_email']",TRUE,TRUE,South Shore,41.77274,-87.57262,Entire condo,Entire home/apt,2,1 bath,1,2,90,2,2,1125,1125,2,1125,TRUE,30,60,90,180,35,15,0,2020-09-07,2023-10-09,4.74,4.91,4.8,4.69,4.86,4.43,4.63,FALSE,3,3,0,0,0.88
1529152511305666300,2022-11-16,NA,within an hour,100%,99%,TRUE,Humboldt Park,4,4,"['email', 'phone']",TRUE,TRUE,West Town,41.899645285823865,-87.70594889983555,Entire rental unit,Entire home/apt,4,2 baths,2,2,365,2,2,1125,1125,2,1125,TRUE,30,45,63,63,25,25,0,2023-02-13,2023-10-16,4.88,4.92,4.76,4.84,4.92,4.4,4.72,FALSE,4,4,0,0,2.43
1712856578860295700,2014-10-02,"Chicago, IL",within a few hours,100%,93%,FALSE,Douglas,1,6,"['email', 'phone']",TRUE,TRUE,Douglas,41.83383,-87.62166,Entire guest suite,Entire home/apt,4,2 baths,2,2,1125,2,2,1125,1125,2,1125,TRUE,25,45,75,337,32,16,1,2022-08-07,2023-11-18,4.75,4.94,4.69,4.88,4.94,4.78,4.91,FALSE,1,1,0,0,1.92
1724890524124294400,2019-03-14,NA,within an hour,99%,99%,TRUE,West Loop/Greektown,71,88,['phone'],TRUE,TRUE,Near North Side,41.89612,-87.62781,Entire rental unit,Entire home/apt,6,2 baths,3,2,365,2,3,1125,1125,2.2,1125,TRUE,0,0,0,0,11,11,2,2023-04-23,2023-12-05,5,5,5,4.85,5,5,4.69,TRUE,51,51,0,0,1.38
1643304762249641e3,2016-03-07,"Los Angeles, CA",within a few hours,100%,84%,FALSE,West Ridge,1,2,"['email', 'phone']",TRUE,TRUE,West Ridge,41.99560601123468,-87.68627179717201,Private room in rental unit,Private room,2,1 bath,1,1,60,2,2,60,60,2,60,TRUE,30,60,90,269,13,13,1,2023-07-28,2023-11-25,5,4.92,4.92,4.85,5,4.92,4.92,FALSE,1,0,1,0,2.71
1905666360688463e3,2019-02-13,"Skokie, IL",within an hour,100%,100%,FALSE,Near South Side,42,45,"['email', 'phone']",TRUE,TRUE,Near South Side,41.85394,-87.6273,Entire rental unit,Entire home/apt,6,2 baths,3,2,365,2,3,1125,1125,2,1125,TRUE,22,52,82,348,26,18,3,2022-07-31,2023-12-03,4.88,4.92,4.96,4.85,4.96,4.96,4.81,TRUE,42,42,0,0,1.54
43624645,2019-05-09,United Kingdom,within an hour,100%,99%,TRUE,Gold Coast,8,9,"['email', 'phone', 'work_email']",TRUE,TRUE,Near North Side,41.90136,-87.62574,Entire townhouse,Entire home/apt,10,3.5 baths,4,2,28,2,2,1125,1125,2,1125,TRUE,19,38,68,335,138,36,4,2019-07-23,2023-12-15,4.78,4.8,4.76,4.8,4.7,4.99,4.65,TRUE,2,2,0,0,2.57
1826978053737821200,2019-10-15,"Chicago, IL",within an hour,90%,100%,FALSE,Montclare,4,5,"['email', 'phone']",TRUE,FALSE,Montclare,41.92539,-87.79371,Entire condo,Entire home/apt,2,1 bath,1,32,1125,32,32,1125,1125,32,1125,TRUE,0,0,14,14,3,3,0,2023-03-01,2023-08-22,4.67,4.67,4.33,5,5,4.67,5,FALSE,4,4,0,0,0.31
1683872809926075e3,2017-04-16,"Chicago, IL",within an hour,99%,96%,TRUE,Fulton Market,24,28,"['email', 'phone']",TRUE,TRUE,Loop,41.8777,-87.62805,Entire rental unit,Entire home/apt,6,2 baths,3,2,60,2,4,60,60,2,60,TRUE,0,0,0,0,109,56,0,2022-03-08,2023-11-09,4.81,4.82,4.83,4.87,4.93,4.82,4.55,FALSE,24,24,0,0,5.02
1616915337586713300,2011-07-19,"Chicago, IL",NA,NA,NA,TRUE,Irving Park,1,5,"['email', 'phone', 'work_email']",TRUE,TRUE,Irving Park,41.95965,-87.72016,Entire condo,Entire home/apt,2,1 bath,1,32,1125,32,32,1125,1125,32,1125,TRUE,0,0,0,107,46,0,0,2014-09-14,2022-12-01,4.78,4.89,4.89,4.93,4.91,4.57,4.72,FALSE,1,1,0,0,0.41
1907104980318218e3,2016-12-16,"New York, NY",within an hour,100%,97%,FALSE,Cambridge,4820,6438,"['email', 'phone', 'work_email']",TRUE,TRUE,Near West Side,41.8850096,-87.6440271,Entire rental unit,Entire home/apt,2,1 bath,1,32,1125,32,366,1125,1125,349.7,1125,TRUE,16,46,76,351,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,643,643,0,0,NA
1684443317696381700,2018-01-30,"Springfield, IL",within an hour,99%,97%,FALSE,Near North Side,120,149,"['email', 'phone']",TRUE,TRUE,Lincoln Park,41.91201644400195,-87.63400521814037,Entire rental unit,Entire home/apt,14,2 baths,7,2,1125,2,3,1125,1125,2.5,1125,TRUE,0,0,0,0,52,52,3,2023-01-15,2023-12-10,4.68,4.7,4.68,4.74,4.83,4.87,4.68,FALSE,38,38,0,0,4.62
33331629,2022-01-21,NA,a few days or more,0%,0%,FALSE,South Shore,1,1,"['email', 'phone']",TRUE,TRUE,South Shore,41.75402,-87.55153,Private room in rental unit,Private room,1,1 shared bath,1,32,220,32,32,220,220,32,220,TRUE,30,60,90,269,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,0,1,0,NA
2031777723431655700,2022-10-11,"Chicago, IL",within an hour,90%,80%,TRUE,Near South Side,3,3,"['email', 'phone']",TRUE,TRUE,Near North Side,41.9040204,-87.6326926,Entire condo,Entire home/apt,2,1 bath,1,32,365,32,32,365,365,32,365,TRUE,0,0,16,291,3,3,0,2023-01-14,2023-09-19,5,5,4.67,5,5,4.33,5,FALSE,3,3,0,0,0.27
1930231964011124500,2012-10-24,"Chicago, IL",within an hour,100%,68%,TRUE,South Loop/Printers Row,79,228,"['email', 'phone', 'work_email']",TRUE,TRUE,Near North Side,41.88853,-87.63399,Entire rental unit,Entire home/apt,2,1 bath,1,90,1123,90,90,1123,1123,90,1123,TRUE,30,60,90,365,13,0,0,2014-08-31,2019-09-11,4.92,4.92,4.92,4.85,4.92,5,4.46,FALSE,72,72,0,0,0.11
1529112788558241500,2020-09-13,"Chicago, IL",within a few hours,75%,0%,FALSE,Lower West Side,29,30,"['email', 'phone']",TRUE,TRUE,East Garfield Park,41.88496,-87.69635,Private room in home,Private room,2,1 shared bath,1,32,1125,32,32,1125,1125,32,1125,TRUE,30,60,90,365,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,29,1,28,0,NA
102986951,2022-12-08,"Chicago, IL",within an hour,100%,90%,TRUE,Rush & Division,9,10,"['email', 'phone']",TRUE,TRUE,Near North Side,41.89918777416008,-87.62687062933351,Entire rental unit,Entire home/apt,2,1 bath,1,1,365,2,2,365,365,2,365,TRUE,24,54,84,174,31,31,1,2023-05-09,2023-12-03,4.71,4.77,4.84,4.87,4.87,4.97,4.61,FALSE,8,8,0,0,4.15
92052959,2023-06-19,NA,within an hour,100%,99%,TRUE,South Lawndale,3,3,"['email', 'phone']",TRUE,TRUE,South Lawndale,41.845203821103695,-87.717881010083,Entire rental unit,Entire home/apt,2,1 bath,1,1,365,2,2,365,365,2,365,TRUE,0,0,0,0,21,21,3,2023-07-01,2023-12-15,4.68,4.82,4.68,4.64,4.82,4.32,4.59,TRUE,3,3,0,0,3.68
1181725682236386300,2019-12-11,NA,within an hour,100%,100%,FALSE,East Albany Park,16,23,"['email', 'phone']",TRUE,TRUE,Norwood Park,41.99203887421445,-87.7851128622145,Entire rental unit,Entire home/apt,4,1 bath,2,1,365,2,2,1125,1125,2,1125,TRUE,26,56,86,361,12,12,0,2023-04-18,2023-10-30,4.17,4.58,4.33,4.5,4.33,4.75,4.17,TRUE,15,15,0,0,1.47
